,tag,smiles,n_atoms,smiles_B3LYP,A,B,C,mu,alpha,homo,lumo,gap,R2,zvpe,U0,U,H,G,Cv
71,72,CCC(C)=O,13,CCC(C)=O,9.55216,3.57844,2.7341,2.6168,46.19,-0.2423,-0.0072,0.2351,489.8518,0.112006,-232.377706,-232.371073,-232.370129,-232.408256,21.716
72,73,CCC(N)=O,12,CCC(N)=O,9.78802,3.78441,2.84416,3.499,42.54,-0.2438,0.0355,0.2793,457.447,0.101847,-248.448467,-248.441988,-248.441044,-248.478935,21.374
73,74,CNC(C)=O,12,CNC(C)=O,10.01185,3.84195,2.87635,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,0.101735,-248.443503,-248.436899,-248.435955,-248.474272,20.967
74,75,CNC(N)=O,11,CNC(N)=O,10.44045,4.04692,2.98547,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,0.091713,-264.504487,-264.498452,-264.497508,-264.533633,20.274
75,76,COC(C)=N,12,COC(C)=N,9.69683,4.1533,3.01703,1.1876,43.57,-0.2595,0.0352,0.2948,443.1687,0.102062,-248.416462,-248.410358,-248.409414,-248.445651,20.256
76,77,COC(C)=O,11,COC(C)=O,10.20392,4.16834,3.07281,1.7569,39.33,-0.2685,0.0174,0.2859,427.6606,0.089436,-268.32127,-268.315051,-268.314106,-268.351214,19.501
77,78,COC(N)=O,10,COC(N)=O,10.68182,4.39532,3.17969,2.329,35.5,-0.2669,0.0575,0.3244,398.5908,0.079271,-284.385189,-284.379361,-284.378417,-284.414085,19.084
78,79,NC(=O)CO,10,NC(=O)CO,10.20696,3.93135,2.9219,4.5676,35.87,-0.246,0.0273,0.2733,418.5967,0.078222,-284.360325,-284.354148,-284.353204,-284.390143,20.089
79,80,[NH3+]CC([O-])=O,10,[NH3+]CC([O-])=O,10.14389,4.0714,3.02223,5.3004,35.19,-0.2527,0.0208,0.2735,408.0279,0.080317,-284.372483,-284.367172,-284.366228,-284.40095,17.931
80,81,CC(C)CO,15,CC(C)CO,7.57282,3.5255,2.65861,1.3149,49.26,-0.2629,0.0789,0.3418,516.4357,0.136209,-233.551389,-233.544542,-233.543598,-233.581067,23.924
81,82,CC(O)CO,13,CC(O)CO,6.6508,4.19317,3.39441,2.2854,42.01,-0.2597,0.0631,0.3228,438.3028,0.11345,-269.479234,-269.472993,-269.472049,-269.508213,22.072
82,83,CCC(C)C,17,CCC(C)C,7.26511,3.32874,2.54491,0.0618,56.26,-0.3085,0.085,0.3934,565.8412,0.159632,-197.629387,-197.622325,-197.621381,-197.659365,25.169
83,84,CCC(C)O,15,CCC(C)O,8.11598,3.43678,2.66869,1.3894,49.45,-0.2617,0.0733,0.335,521.8605,0.136091,-233.555951,-233.549143,-233.548199,-233.585602,23.99
84,85,COC(C)C,15,COC(C)C,7.55335,3.78323,2.80566,1.0758,49.8,-0.2476,0.086,0.3336,507.9614,0.135681,-233.545899,-233.539034,-233.53809,-233.57582,23.573
85,86,CC1(C)CC1,15,CC1(C)CC1,6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,0.137025,-196.409349,-196.403398,-196.402453,-196.437676,22.258
86,87,CC1(C)CO1,13,CC1(C)CO1,6.49534,5.52329,3.9108,1.8235,45.7,-0.2596,0.091,0.3505,405.521,0.112851,-232.335768,-232.329981,-232.329037,-232.364091,20.719
87,88,CC1(O)CC1,13,CC1(O)CC1,6.57648,5.31603,3.98453,1.3822,45.85,-0.2494,0.0776,0.327,401.4888,0.113237,-232.33341,-232.327734,-232.32679,-232.36147,21.17
88,89,N=C1CCO1,10,N=C1CCO1,12.18399,5.1384,3.78868,2.5732,40.19,-0.263,0.0277,0.2907,352.0378,0.080558,-247.201165,-247.196699,-247.195755,-247.22841,15.51
89,90,O=C1CCC1,11,O=C1CCC1,10.79571,4.78732,3.54292,2.7119,42.77,-0.2415,-0.0194,0.2222,379.6371,0.090544,-231.15578,-231.150804,-231.149859,-231.184401,17.076
90,91,O=C1CCN1,10,O=C1CCN1,12.23436,4.97895,3.70561,3.6671,39.73,-0.25,0.038,0.288,355.0934,0.080442,-247.225618,-247.220897,-247.219953,-247.253218,16.1
91,92,O=C1CCO1,9,O=C1CCO1,12.44643,5.23328,3.86599,3.9339,35.4,-0.2788,0.0089,0.2878,336.0792,0.068574,-267.106213,-267.101929,-267.100985,-267.13332,14.483
92,93,O=C1CNC1,10,O=C1CNC1,11.54185,4.90368,3.63309,2.5257,39.34,-0.2437,-0.0258,0.2179,359.152,0.07965,-247.190194,-247.185543,-247.184599,-247.217688,16.083
93,94,O=C1COC1,9,O=C1COC1,12.18264,4.94228,3.68162,0.8477,35.94,-0.2647,-0.0352,0.2295,344.5473,0.066989,-267.068488,-267.063976,-267.063032,-267.095887,15.115
94,95,CC1CCC1,15,CC1CCC1,9.63416,4.10254,3.28665,0.095,52.94,-0.2896,0.0927,0.3823,455.0215,0.138424,-196.407957,-196.40245,-196.401505,-196.436159,20.299
95,96,CC1CCO1,13,CC1CCO1,9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,0.11459,-232.33123,-232.325877,-232.324933,-232.359589,18.582
96,97,CC1COC1,13,CC1COC1,10.13697,4.32512,3.50912,1.8995,45.45,-0.2419,0.0814,0.3233,414.1575,0.114694,-232.325947,-232.320548,-232.319604,-232.354576,18.443
97,98,OC1CCC1,13,OC1CCC1,10.09703,4.26865,3.40487,1.4604,45.55,-0.256,0.0801,0.3361,413.9118,0.115063,-232.333258,-232.328097,-232.327153,-232.361103,19.023
98,99,OC1COC1,11,OC1COC1,10.85394,4.52867,3.62328,2.4158,38.58,-0.2465,0.0604,0.3069,374.4087,0.091005,-268.248371,-268.243234,-268.24229,-268.276572,17.344
99,100,CC1CC1C,15,CC1CC1C,7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,0.3573,465.3301,0.137341,-196.406419,-196.40034,-196.399396,-196.435152,22.005
100,101,CC1CC1O,13,CC1CC1O,7.36997,4.78662,3.53123,1.3092,45.84,-0.2518,0.0822,0.334,418.298,0.113827,-232.32907,-232.323327,-232.322383,-232.357426,20.702
101,102,CC1CN1C,14,CC1CN1C,7.53724,4.74514,3.54049,1.2483,49.79,-0.2199,0.0931,0.313,432.5081,0.125556,-212.438188,-212.432286,-212.431342,-212.466725,20.993
102,103,CC1OC1C,13,CC1OC1C,8.15202,4.38313,3.43318,1.8159,46.02,-0.2573,0.0984,0.3557,432.2224,0.113178,-232.334436,-232.32857,-232.327626,-232.363064,20.451
103,104,OC1CC1O,11,OC1CC1O,7.51163,5.3853,3.80314,2.4925,38.43,-0.2369,0.0642,0.3011,370.2795,0.090396,-268.251114,-268.245852,-268.244908,-268.278934,19.173
104,105,C1C2CC1C2,13,C1C2CC1C2,7.20812,7.20681,6.22176,0.0002,49.82,-0.2974,0.1082,0.4056,328.2069,0.116844,-195.158734,-195.154774,-195.15383,-195.185188,15.584
105,106,C1C2CC1O2,11,C1C2CC1O2,7.76429,7.54763,6.46247,1.8725,42.39,-0.2352,0.0994,0.3346,298.4772,0.092109,-231.069318,-231.065445,-231.064501,-231.095721,14.648
106,107,C#CCC#C,9,C#CCC#C,19.32586,2.84998,2.52198,0.4777,45.22,-0.2633,0.0345,0.2978,470.3666,0.065276,-192.736096,-192.730524,-192.72958,-192.764175,19.399
107,108,C#CCC#N,8,C#CCC#N,20.01906,2.89728,2.57099,3.5925,40.56,-0.2911,0.0111,0.3022,448.7393,0.05503,-208.842347,-208.837159,-208.836215,-208.87023,17.258
108,109,N#CCC#N,7,N#CCC#N,21.0592,2.92609,2.61064,3.6958,36.12,-0.3494,-0.0151,0.3344,429.0927,0.044642,-224.94466,-224.939832,-224.938888,-224.972334,15.259
109,110,O=CCC#C,9,O=CCC#C,24.42532,2.5579,2.40769,2.0711,41.41,-0.2583,-0.0337,0.2245,483.1343,0.065029,-229.918003,-229.912379,-229.911435,-229.946855,18.303
110,111,O=CCC#N,8,O=CCC#N,26.22693,2.56863,2.42417,2.172,36.79,-0.2868,-0.0568,0.23,464.3999,0.054694,-246.023231,-246.017964,-246.017019,-246.051902,16.279
111,112,N=CNC=O,9,N=CNC=O,11.16406,4.28269,3.09529,5.0884,38.8,-0.2491,-0.0216,0.2276,391.0845,0.068192,-263.280728,-263.275534,-263.27459,-263.308973,16.694
112,113,N=COC=O,8,N=COC=O,46.2984,2.58674,2.44986,4.2338,35.69,-0.2934,-0.0298,0.2636,460.7073,0.055229,-283.156647,-283.151564,-283.15062,-283.184645,15.704
113,114,O=CNC=O,8,O=CNC=O,11.40917,4.38216,3.16609,5.2904,34.31,-0.2608,-0.0416,0.2191,372.7845,0.055704,-283.179781,-283.17476,-283.173816,-283.207861,15.692
114,115,CC#CC#C,9,CC#CC#C,160.02654,2.04896,2.04896,1.1881,54.54,-0.242,-0.0085,0.2335,576.5936,0.065688,-192.762455,-192.756657,-192.755713,-192.790147,19.382
115,116,CC#CC#N,8,CC#CC#N,159.56146,2.07623,2.07623,5.1545,47.82,-0.2871,-0.0377,0.2494,553.2094,0.055566,-208.863267,-208.85788,-208.856936,-208.890804,17.054
116,117,CC#CC=O,9,CC#CC=O,43.05987,2.11932,2.04564,3.783,45.67,-0.2642,-0.0592,0.2051,568.7849,0.065532,-229.928448,-229.922366,-229.921422,-229.958956,18.156
117,118,CC#CCO,11,CC#CCO,25.23558,2.07322,1.96278,1.2486,46.92,-0.2421,0.0368,0.2789,613.8892,0.089036,-231.111403,-231.104707,-231.103763,-231.142502,20.884
118,119,CCC#CC,13,CCC#CC,20.50649,2.07478,1.95249,0.078,53.93,-0.2401,0.0631,0.3033,652.4812,0.112761,-195.196751,-195.18988,-195.188936,-195.228146,22.115
119,120,COC=NC,12,COC=NC,27.37372,2.3551,2.22921,2.9091,46.78,-0.2481,0.0251,0.2732,567.546,0.10111,-248.395289,-248.388824,-248.38788,-248.425185,20.343
120,121,CCCC#C,13,CCCC#C,23.52902,2.22059,2.10822,0.7752,51.47,-0.2586,0.0583,0.3169,593.0141,0.112736,-195.186228,-195.179881,-195.178937,-195.215412,22.023
121,122,CCCC#N,12,CCCC#N,23.89209,2.25168,2.1394,4.0641,46.62,-0.3185,0.0365,0.355,569.5065,0.102603,-211.295163,-211.289209,-211.288265,-211.324151,19.863
122,123,CNCC#N,11,CNCC#N,27.0505,2.37302,2.25333,4.1469,43.52,-0.249,0.0208,0.2698,535.2152,0.091346,-227.324775,-227.318937,-227.317993,-227.353619,19.026
123,124,COCC#C,11,COCC#C,29.26507,2.42505,2.30445,1.3623,45.04,-0.2565,0.0324,0.2889,532.4302,0.088734,-231.092208,-231.086089,-231.085144,-231.121215,20.194
124,125,COCC#N,10,COCC#N,29.69812,2.46416,2.34273,4.5445,40.22,-0.2859,0.008,0.2939,509.5881,0.078474,-247.198,-247.192237,-247.191293,-247.226866,18.14
125,126,OCCC#C,11,OCCC#C,26.63096,2.28907,2.16465,1.3892,44.05,-0.2624,0.0549,0.3174,542.7424,0.089329,-231.10631,-231.100171,-231.099227,-231.135302,20.716
126,127,OCCC#N,10,OCCC#N,27.12022,2.32375,2.19911,3.7158,39.41,-0.2914,0.0323,0.3237,519.4529,0.079045,-247.21445,-247.20867,-247.207726,-247.243281,18.636
127,128,CCCC=O,13,CCCC=O,20.60318,2.12564,2.08237,2.7552,47.03,-0.2487,-0.0195,0.2292,599.5103,0.112697,-232.36363,-232.357283,-232.356339,-232.39356,20.766
128,129,CCNC=O,12,CCNC=O,12.29542,2.95298,2.69965,3.694,43.88,-0.2499,0.0335,0.2834,490.704,0.102695,-248.436061,-248.429994,-248.429049,-248.466001,19.864
129,130,CCOC=O,11,CCOC=O,18.87188,2.54729,2.47133,4.0425,40.48,-0.2778,0.0091,0.2868,510.9124,0.089832,-268.307873,-268.301991,-268.301047,-268.337439,18.727
130,131,COCC=O,11,COCC=O,29.05433,2.28555,2.17705,2.7959,40.04,-0.2577,-0.0282,0.2295,546.3932,0.088447,-268.27324,-268.267033,-268.266088,-268.30312,19.186
131,132,OCCC=O,11,OCCC=O,22.23659,2.16652,2.13287,1.4229,39.92,-0.2536,-0.0285,0.225,550.4469,0.089449,-268.282665,-268.276602,-268.275658,-268.312338,19.422
132,133,CCCCC,17,CCCCC,17.04187,1.92713,1.82903,0.0603,56.8,-0.3105,0.0925,0.403,721.0614,0.160138,-197.629416,-197.622321,-197.621376,-197.659721,24.552
133,134,CCCCO,15,CCCCO,18.74523,1.96959,1.86471,1.3815,49.63,-0.2615,0.0813,0.3428,669.0122,0.136722,-233.549368,-233.542485,-233.54154,-233.579515,23.274
134,135,CCCOC,15,CCCOC,20.12848,2.11047,2.00594,0.9755,50.27,-0.25,0.0926,0.3426,647.6919,0.136321,-233.542445,-233.535569,-233.534624,-233.572603,22.785
135,136,CCOCC,15,CCOCC,17.9608,2.23958,2.09578,0.9301,50.62,-0.2483,0.0931,0.3414,631.0818,0.136152,-233.547877,-233.541027,-233.540083,-233.578016,22.881
136,137,COCCO,13,COCCO,12.80895,2.7832,2.48922,2.2019,42.99,-0.261,0.0821,0.3431,522.4181,0.113563,-269.465281,-269.45898,-269.458036,-269.494828,21.001
137,138,OCCCO,13,OCCCO,20.79686,2.01268,1.9004,2.7191,42.52,-0.2607,0.0779,0.3386,618.0376,0.113242,-269.468415,-269.461727,-269.460783,-269.498456,22.005
138,139,C#CC1CC1,11,C#CC1CC1,15.9285,3.34091,3.17008,0.8635,48.65,-0.2425,0.0503,0.2928,429.6736,0.090505,-193.963318,-193.958152,-193.957208,-193.990986,18.785
139,140,C#CC1CN1,10,C#CC1CN1,17.05252,3.4088,3.26202,1.2763,45.22,-0.2422,0.0322,0.2744,408.3613,0.079399,-210.001565,-209.996559,-209.995615,-210.029132,17.704
